x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Y 10 min,Y 15 min,Y 20 min,Y 30 min,Y 45 min,Y 60 min
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,67.6,84.66,88.55,91.9,93.28,93.75
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,68.17,85.13,87.35,92.61,94.26,95.22
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,63.6,79.67,86.21,90.65,92.22,93.58
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,73.43,86.42,89.83,92.81,95.09,95.09
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,65.84,83.25,88.07,91.71,92.75,93.59
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,63.58,82.07,86.63,90.83,92.58,93.52
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,61.2,80.04,85.33,88.65,90.87,91.84
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,9.33,50 rpm,SLS,0.25,60.91,82.53,88.35,93.35,95.16,96.34
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,71.84,88.25,94.49,95.78,100.85,101.01
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,78.53,90.9,95.63,96.72,99.43,99.78
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,78.86,92.68,97.42,99.65,100.97,100.97
Class 2,Salt,Low,High,0.00,0.56,0.72,10.2,2.2,8.2,9.95,2.5,0.208,0.342,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.63,0.85,PVA,3,0.465,0.637,300,Round,5.00,50 rpm,SLS,0.25,76.17,89.02,94.7,97.9,99.07,100.39
