date,Product,Customer_name,Year,Month,Quarter,Purchase_amount
1/4/2018,110100570122--AMI,28,2018,April,2,5250
1/4/2018,110100570122--AMI,38,2018,April,2,3500
1/4/2018,110100570122--AMI,39,2018,April,2,875
1/4/2018,110100570122--AMI,42,2018,April,2,525
1/4/2018,110100570122--AMI,50,2018,April,2,700
1/4/2018,110100570122--AMI,51,2018,April,2,700
1/4/2018,110100570122--AMI,52,2018,April,2,3500
1/4/2018,110100570122--AMI,55,2018,April,2,7000
1/4/2018,110100570122--AMI,70,2018,April,2,3500
1/4/2018,110100570122--AMI,75,2018,April,2,525
1/4/2018,110100570122--AMI,78,2018,April,2,1750
1/4/2018,110100570122--AMI,86,2018,April,2,525
1/4/2018,110100570122--AMI,99,2018,April,2,2625
1/4/2018,110100570122--AMI,116,2018,April,2,1750
1/4/2018,110100570122--AMI,138,2018,April,2,5250
1/4/2018,110100570122--AMI,141,2018,April,2,1750
1/4/2018,110100570122--AMI,159,2018,April,2,700
1/4/2018,110100570122--AMI,163,2018,April,2,1750
1/4/2018,110100570122--AMI,172,2018,April,2,5250
1/4/2018,110100570122--AMI,182,2018,April,2,875
1/4/2018,110100570122--AMI,208,2018,April,2,350
1/4/2018,110100570122--AMI,221,2018,April,2,3150
1/4/2018,110100570122--AMI,236,2018,April,2,875
1/4/2018,110100570122--AMI,302,2018,April,2,5250
1/4/2018,110100570122--AMI,304,2018,April,2,2625
1/4/2018,110100570122--AMI,306,2018,April,2,7700
1/4/2018,110100570122--AMI,315,2018,April,2,1750
1/4/2018,110100570122--AMI,377,2018,April,2,1400
1/4/2018,110100570122--AMI,401,2018,April,2,350
1/4/2018,110100570122--AMI,443,2018,April,2,3500
1/4/2018,110100570122--AMI,464,2018,April,2,350
1/4/2018,110100570122--AMI,481,2018,April,2,875
1/4/2018,110100570122--AMI,482,2018,April,2,700
1/4/2018,110100570122--AMI,485,2018,April,2,700
1/4/2018,110100570122--AMI,492,2018,April,2,700
1/4/2018,110100570122--AMI,493,2018,April,2,1050
1/4/2018,110100570122--AMI,494,2018,April,2,3500
1/4/2018,110100570122--AMI,500,2018,April,2,1750
1/4/2018,110100570122--AMI,501,2018,April,2,1400
1/4/2018,110100570122--AMI,502,2018,April,2,1050
1/4/2018,110100570122--AMI,506,2018,April,2,3850
1/4/2018,110100570122--AMI,544,2018,April,2,5250
1/4/2018,110100570122--AMI,546,2018,April,2,3500
1/4/2018,110100570122--AMI,560,2018,April,2,2625
1/4/2018,110100570122--AMI,613,2018,April,2,2625
